Wavelength,NN-SS 2mM-F01,NN-SS 1.5mM-F02,NN-TT 2mM-F03,NN-TT 1.5mM-F04,NN-VV 1.5mM-F05,NN-AA 2mM-F07,NN-AA 1.5mM-F08
455,129,124,955,191,585,286,209
460,221,208,1740,310,1066,400,250
465,348,345,2920,550,1886,600,372
470,530,496,4438,836,2845,850,473
475,728,595,5431,1042,3673,924,584
480,782,723,6139,1179,4153,985,630
485,789,822,6317,1243,4440,1081,707
490,907,816,6320,1238,4480,1145,751
495,840,777,6088,1199,4471,1207,772
500,822,718,5836,1114,4202,1227,682
505,750,739,5442,1091,3884,1186,710
510,687,636,5061,985,3666,1157,699
515,598,584,4661,887,3489,1103,655
520,545,533,3972,733,2990,982,667
525,499,470,3481,739,2722,917,589
530,409,423,3116,600,2342,922,553
535,385,391,2781,530,2008,799,466
540,363,276,2309,438,1783,652,443
545,255,284,2002,400,1606,592,446
550,201,260,1722,315,1363,521,397
555,239,211,1592,273,1218,506,326
560,172,183,1236,264,1070,465,325
565,152,151,1154,199,867,418,318
570,170,138,967,208,745,383,231
575,130,131,804,175,619,308,196
580,97,105,651,162,525,295,171
585,79,86,586,144,507,263,164
590,102,79,506,107,432,204,153
595,76,62,437,98,320,199,123
600,104,59,364,80,279,177,107
605,70,42,316,42,310,169,93
610,56,49,263,65,214,103,64
615,37,47,212,55,213,88,64
620,48,39,199,43,170,82,62
625,31,35,148,46,140,73,68
630,36,23,123,33,126,73,67
635,29,29,110,47,107,66,41
640,20,29,103,28,95,48,33
645,28,26,81,18,86,56,63
650,6,30,49,27,58,34,29
